platform,event_id,event_title,event_url,source_context,author_name,timestamp_utc,likes,comments,clean_event_text,event_content
inshort,inshort-bga-001,Bengaluru Airport to handle 70 million passengers annually,https://www.inshorts.com/news/bengaluru-airport-to-handle-70-million-passengers-annually-123456,India,PTI,2024-07-20T10:00:00Z,12500,0,Bengaluru Airport aims to handle 70 million passengers annually after its second terminal becomes fully operational.,"Bengaluru's Kempegowda International Airport (KIA) is set to significantly boost its capacity, targeting 70 million passengers annually once its new Terminal 2 is completely operational, making it one of the busiest airports in India."
inshort,inshort-bga-002,Bengaluru Airport installs new baggage handling system,https://www.inshorts.com/news/bengaluru-airport-installs-new-baggage-handling-system-789012,Business,ANI,2024-07-19T14:30:00Z,8900,0,A new baggage handling system has been installed at Bengaluru Airport to improve efficiency and reduce wait times.,"Kempegowda International Airport in Bengaluru has successfully implemented a state-of-the-art baggage handling system, expected to significantly cut down baggage claim times and enhance overall passenger experience at Terminal 1."
inshort,inshort-bga-003,Bengaluru Airport among world's top for on-time performance,https://www.inshorts.com/news/bengaluru-airport-on-time-performance-345678,India,Reuters,2024-07-18T09:15:00Z,15000,0,Bengaluru Airport ranks among the top global airports for on-time performance in a recent international survey.,"Kempegowda International Airport, Bengaluru, has achieved a high ranking in a recent global survey for its impressive on-time performance, reflecting efficient operations and reduced flight delays, a major relief for travellers."
inshort,inshort-bga-004,New international routes from Bengaluru Airport on the cards,https://www.inshorts.com/news/new-international-routes-bengaluru-airport-901234,Travel,The Hindu,2024-07-17T11:00:00Z,10200,0,Direct flights from Bengaluru Airport to new international destinations are expected to boost tourism and trade.,"New direct flight routes from Bengaluru's Kempegowda International Airport to several international cities are in the pipeline, which are anticipated to significantly enhance global connectivity, trade, and tourism for the region."
inshort,inshort-bga-005,Bengaluru Airport rolls out new digital payment system,https://www.inshorts.com/news/bengaluru-airport-digital-payment-system-567890,Technology,Indian Express,2024-07-16T16:00:00Z,7500,0,Bengaluru Airport introduces a new digital payment system at all retail outlets for passenger convenience.,"Kempegowda International Airport has launched a comprehensive digital payment system across all its retail and F&B outlets, allowing passengers to make cashless transactions seamlessly and securely, enhancing their shopping experience."
inshort,inshort-bga-006,Bengaluru Airport reports record cargo growth,https://www.inshorts.com/news/bengaluru-airport-record-cargo-growth-112233,Business,Deccan Herald,2024-07-15T08:45:00Z,6800,0,"Bengaluru Airport's cargo operations saw a significant increase in volume this quarter, indicating strong economic activity.","The cargo division of Kempegowda International Airport reported a substantial surge in handling volumes over the last quarter, driven by increased demand in e-commerce and pharmaceutical exports, reinforcing its position as a major cargo hub."
inshort,inshort-bga-007,Bengaluru Airport boosts security with new tech,https://www.inshorts.com/news/bengaluru-airport-boosts-security-new-tech-445566,India,NDTV,2024-07-14T13:20:00Z,9500,0,Bengaluru Airport enhances security measures with new advanced screening technologies.,"Kempegowda International Airport has upgraded its security infrastructure by integrating cutting-edge screening technologies and deploying additional personnel, aiming to further strengthen passenger safety and streamline security checks."
inshort,inshort-bga-008,Airlines increase flight frequency from Bengaluru Airport,https://www.inshorts.com/news/airlines-increase-flight-frequency-bengaluru-airport-778899,Business,Moneycontrol,2024-07-13T10:50:00Z,8100,0,Airlines are increasing their flight frequencies from Bengaluru Airport due to rising passenger demand.,"Several domestic and international airlines are adding more flights and expanding their network from Bengaluru's Kempegowda International Airport, responding to the robust increase in both business and leisure travel demand from the city."
inshort,inshort-bga-009,Bengaluru Airport eyes green future with new investments,https://www.inshorts.com/news/bengaluru-airport-green-future-investments-001122,Environment,The Economic Times,2024-07-12T15:00:00Z,11000,0,"Bengaluru Airport is investing heavily in sustainable initiatives, including solar power and water recycling.","Kempegowda International Airport is committed to sustainability, announcing major investments in renewable energy sources like solar power and advanced water recycling plants, aiming to significantly reduce its carbon footprint and environmental impact."
inshort,inshort-bga-010,Passengers happy with Bengaluru Airport's improved facilities,https://www.inshorts.com/news/passengers-happy-bengaluru-airport-facilities-334455,Travel,Hindustan Times,2024-07-11T09:30:00Z,9800,0,Travellers at Bengaluru Airport express satisfaction with improved facilities and services.,"A recent survey of passengers at Kempegowda International Airport reveals high levels of satisfaction regarding the newly introduced amenities, efficient check-in processes, and overall improved customer service, reflecting airport's efforts."
inshort,inshort-bga-011,Bengaluru Airport's second runway now fully operational,https://www.inshorts.com/news/bengaluru-airport-second-runway-operational-667788,India,Times of India,2024-07-10T11:40:00Z,13000,0,"Bengaluru Airport's second runway is fully operational, enhancing flight handling capacity.","Kempegowda International Airport's second parallel runway has been declared fully operational, enabling simultaneous operations and significantly increasing the airport's capacity to handle more flights per hour, reducing congestion."
inshort,inshort-bga-012,Bengaluru Airport sees jump in retail and F&B revenue,https://www.inshorts.com/news/bengaluru-airport-retail-fnb-revenue-990011,Business,Livemint,2024-07-09T14:55:00Z,7200,0,"Retail and F&B revenues at Bengaluru Airport surge, reflecting increased passenger footfall.","Retail and food and beverage concessions at Kempegowda International Airport have reported a substantial uplift in revenues, directly correlating with the continuous rise in passenger numbers passing through the airport, indicating strong commercial viability."
