platform,event_id,event_title,event_url,source_context,author_name,timestamp_utc,likes,comments,clean_event_text,event_content
facebook,1001,KIA introduces new self-bag drop kiosks for quicker check-in,https://www.facebook.com/bangaloreairportupdates/posts/1001,Bangalore Airport Updates,Bangalore Airport Updates,2024-07-28T10:30:00Z,567,78,Kempegowda International Airport (KIA) has introduced new self-bag drop kiosks to streamline the check-in process for passengers.,"Kempegowda International Airport (KIA) has introduced new self-bag drop kiosks to streamline the check-in process for passengers. This initiative aims to reduce queues and improve efficiency, especially during peak travel times. Passengers can now complete their bag drop in under a minute after web check-in."
facebook,1002,Heavy traffic expected on Bangalore Airport Road,https://www.facebook.com/bengalurutrafficalerts/posts/1002,Bengaluru Traffic Alerts,Bengaluru Traffic Alerts,2024-07-28T08:15:00Z,890,123,Commuters are advised to expect heavy traffic on the airport road due to ongoing infrastructure work near Devanahalli.,"Commuters are advised to expect heavy traffic on the airport road due to ongoing infrastructure work near Devanahalli. Please plan your travel accordingly, especially if you have a flight to catch from Bangalore Airport. Consider leaving extra early or using alternative routes if possible."
facebook,1003,Food review: New eateries at Bangalore Airport T2,https://www.facebook.com/bangalorefoodies/posts/1003,Bangalore Foodies,Bangalore Foodies,2024-07-27T18:00:00Z,321,45,"Exploring the new food outlets at Bangalore Airport's Terminal 2, which offers a delightful array of international and local cuisines.","Exploring the new food outlets at Bangalore Airport's Terminal 2, which offers a delightful array of international and local cuisines. Tried the South Indian thali at 'Annapoorna' and it was fantastic! Highly recommend checking out the new food court if you have time before your flight."
facebook,1004,Bangalore Airport security: Faster now?,https://www.facebook.com/flyersforumindia/posts/1004,Flyer's Forum India,Flyer's Forum India,2024-07-27T12:45:00Z,410,60,"Discussing the efficiency of security checks at Bangalore Airport, with recent reports indicating faster processing times.",Discussing the efficiency of security checks at Bangalore Airport. Recent reports indicate faster processing times thanks to new e-gates and increased staff. What has been your recent experience? Share your thoughts below!
facebook,1005,Commuting to Bangalore Airport from Electronic City,https://www.facebook.com/nammabengaluru/posts/1005,Namma Bengaluru,Namma Bengaluru,2024-07-26T20:00:00Z,670,95,"Looking for the best ways to get to Bangalore Airport from Electronic City, considering both public transport and cabs.",Looking for the best ways to get to Bangalore Airport from Electronic City. Has anyone tried the new airport bus services recently? Or is a cab still the most reliable option? Share your recommendations and tips for a smooth journey!
facebook,1006,Bangalore Airport T2: A sustainable marvel,https://www.facebook.com/bangaloretourism/posts/1006,Bangalore Tourism Board,Bangalore Tourism Board,2024-07-26T14:30:00Z,280,30,"Highlighting Bangalore Airport's Terminal 2 as a prime example of sustainable architecture, blending modern design with green initiatives.","Bangalore Airport's Terminal 2 is not just a transit point; it's a prime example of sustainable architecture. With its lush greenery, natural light, and eco-friendly features, it offers a refreshing experience to travelers. A true 'Terminal in a Garden'!"
facebook,1007,Tips for booking airport cabs to Bangalore Airport,https://www.facebook.com/airportcabsbengaluru/posts/1007,Airport Cabs Bengaluru,Airport Cabs Bengaluru,2024-07-26T10:00:00Z,150,22,Advising travelers on peak hours for booking airport cabs to Bangalore Airport to avoid delays and surge pricing.,Headed to Bangalore Airport? Avoid the rush and surge pricing by booking your cabs during off-peak hours! Mornings between 5 AM - 9 AM and evenings between 6 PM - 10 PM are usually the busiest. Plan ahead for a hassle-free ride!
facebook,1008,Bangalore Airport: A growing international hub,https://www.facebook.com/bangaloreaviationenthusiasts/posts/1008,Bangalore Aviation Enthusiasts,Bangalore Aviation Enthusiasts,2024-07-25T16:00:00Z,480,55,"Observing the increase in international flight operations at Bangalore Airport, signifying its growing global connectivity.","Fascinating to see the continuous increase in international flight operations at Bangalore Airport! More direct routes to major global cities are being added, truly establishing KIA as a major international hub. Which new route are you most excited about?"
facebook,1009,More Vayu Vajra buses to Bangalore Airport,https://www.facebook.com/publictransportbengaluru/posts/1009,Public Transport Bengaluru,Public Transport Bengaluru,2024-07-25T09:45:00Z,550,70,Updates on the extended Vayu Vajra bus services connecting more parts of Bangalore to the airport.,Great news for commuters! The Vayu Vajra bus services connecting various parts of Bangalore to the airport have been extended and now cover more residential areas. This is a huge relief for those looking for affordable and reliable airport transport.
facebook,1010,Suburban rail link to Bangalore Airport: What's the status?,https://www.facebook.com/bangalorecitizenforum/posts/1010,Bangalore Citizen Forum,Bangalore Citizen Forum,2024-07-24T17:30:00Z,780,110,Discussing the progress of the suburban rail link to Bangalore Airport and its potential impact on connectivity.,"Any updates on the suburban rail link to Bangalore Airport? This project has been anticipated for so long, and it would drastically improve connectivity for thousands of citizens. What are your thoughts on its progress and impact?"
